Time_ns,V,I,Wfm4
0.0000,0.18772628,0.14058100,0.29011615
50.0000,0.18806628,0.12058100,0.29011615
100.0000,0.18908628,0.06058100,0.29011615
150.0000,0.18806628,0.12058100,0.29011615
200.0000,0.18840628,0.10058100,0.29011615
250.0000,0.18840628,0.10058100,0.29011615
300.0000,0.18806628,0.12058100,0.29011615
350.0000,0.18806628,0.12058100,0.29011615
400.0000,0.18806628,0.12058100,0.29011615
450.0000,0.18806628,0.12058100,0.29011615
500.0000,0.18840628,0.10058100,0.29011615
550.0000,0.18772628,0.14058100,0.29011615
600.0000,0.18772628,0.14058100,0.29011615
650.0000,0.18806628,0.12058100,0.29011615
700.0000,0.18874628,0.08058100,0.29011615
750.0000,0.18772628,0.14058100,0.29011615
800.0000,0.18772628,0.14058100,0.29011615
850.0000,0.18874628,0.08058100,0.29011615
900.0000,0.18874628,0.08058100,0.29011615
950.0000,0.18874628,0.08058100,0.29011615
1000.0000,0.18874628,0.08058100,0.29011615
1050.0000,0.18806628,0.12058100,0.29011615
1100.0000,0.18806628,0.12058100,0.29011615
1150.0000,0.18806628,0.12058100,0.29011615
1200.0000,0.18806628,0.12058100,0.29011615
1250.0000,0.18738628,0.16058100,0.29011615
1300.0000,0.18840628,0.10058100,0.29011615
1350.0000,0.18840628,0.10058100,0.29011615
1400.0000,0.18806628,0.12058100,0.29011615
1450.0000,0.18806628,0.12058100,0.29011615
1500.0000,0.18772628,0.14058100,0.29011615
1550.0000,0.18840628,0.10058100,0.29011615
1600.0000,0.18772628,0.14058100,0.29011615
1650.0000,0.18806628,0.12058100,0.29011615
1700.0000,0.18806628,0.12058100,0.29011615
1750.0000,0.18806628,0.12058100,0.29011615
1800.0000,0.18806628,0.12058100,0.29011615
1850.0000,0.18806628,0.12058100,0.29011615
1900.0000,0.18874628,0.08058100,0.29011615
1950.0000,0.18806628,0.12058100,0.29011615
2000.0000,0.18840628,0.10058100,0.29011615
2050.0000,0.18840628,0.10058100,0.29011615
2100.0000,0.18772628,0.14058100,0.29011615
2150.0000,0.18806628,0.12058100,0.29011615
2200.0000,0.18840628,0.10058100,0.29011615
2250.0000,0.18772628,0.14058100,0.29011615
2300.0000,0.18772628,0.14058100,0.29011615
2350.0000,0.18772628,0.14058100,0.29011615
2400.0000,0.18806628,0.12058100,0.29011615
2450.0000,0.18806628,0.12058100,0.29011615
2500.0000,0.18806628,0.12058100,0.29011615
2550.0000,0.18772628,0.14058100,0.29011615
2600.0000,0.18806628,0.12058100,0.29011615
2650.0000,0.18806628,0.12058100,0.29011615
2700.0000,0.18806628,0.12058100,0.29011615
2750.0000,0.18806628,0.12058100,0.29011615
2800.0000,0.18772628,0.14058100,0.29011615
2850.0000,0.18840628,0.10058100,0.29011615
2900.0000,0.18806628,0.12058100,0.29011615
2950.0000,0.18806628,0.12058100,0.29011615
3000.0000,0.18840628,0.10058100,0.29011615
3050.0000,0.18806628,0.12058100,0.29011615
3100.0000,0.18874628,0.08058100,0.29011615
3150.0000,0.18772628,0.14058100,0.29011615
3200.0000,0.18806628,0.12058100,0.29011615
3250.0000,0.18738628,0.16058100,0.29011615
3300.0000,0.18806628,0.12058100,0.29011615
3350.0000,0.18874628,0.08058100,0.29011615
3400.0000,0.18806628,0.12058100,0.29011615
3450.0000,0.18806628,0.12058100,0.29011615
3500.0000,0.18772628,0.14058100,0.29011615
3550.0000,0.18806628,0.12058100,0.29011615
3600.0000,0.18806628,0.12058100,0.29011615
3650.0000,0.18772628,0.14058100,0.29011615
3700.0000,0.18840628,0.10058100,0.29011615
3750.0000,0.18840628,0.10058100,0.29011615
3800.0000,0.18840628,0.10058100,0.29011615
3850.0000,0.18772628,0.14058100,0.29011615
3900.0000,0.18772628,0.14058100,0.29011615
3950.0000,0.18840628,0.10058100,0.29011615
4000.0000,0.18806628,0.12058100,0.29011615
4050.0000,0.18806628,0.12058100,0.29011615
